epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,459.295,0.96134,0.58118,1.6683,0.97553,0.95652,0.98726,0.73376,1.01125,0.60972,1.95406,0.003367,0.003367,0.003367
69,466.189,0.99215,0.58729,1.64766,0.99785,0.93478,0.99096,0.74568,0.99354,0.59644,1.89988,0.003268,0.003268,0.003268
70,473.188,0.97425,0.60096,1.68506,0.99648,0.95652,0.99099,0.74741,0.99591,0.52623,1.93942,0.003169,0.003169,0.003169
71,479.949,0.96025,0.5742,1.62667,1,0.97518,0.99204,0.74541,1.02045,0.51952,1.7099,0.00307,0.00307,0.00307
72,486.805,0.96949,0.57076,1.6277,0.91249,0.97826,0.98774,0.71987,1.0378,0.58041,1.92226,0.002971,0.002971,0.002971
73,493.676,0.91693,0.55459,1.60515,0.93734,0.97561,0.99047,0.76587,0.94691,0.51436,1.84339,0.002872,0.002872,0.002872
74,500.621,0.94724,0.57304,1.58626,0.97724,0.97826,0.9916,0.76021,0.92386,0.50895,1.86002,0.002773,0.002773,0.002773
75,507.339,0.91873,0.56065,1.56765,1,0.9763,0.99086,0.76367,0.93599,0.49148,1.85702,0.002674,0.002674,0.002674
76,514.295,0.93319,0.55076,1.59518,0.97449,0.97826,0.99056,0.76224,0.97095,0.4995,1.75347,0.002575,0.002575,0.002575
77,521.179,0.93003,0.56308,1.60517,0.9547,0.97826,0.9921,0.75498,1.00066,0.50339,1.8333,0.002476,0.002476,0.002476
78,527.971,0.89329,0.52397,1.53833,0.9776,0.94876,0.99171,0.75729,0.9696,0.49688,1.87128,0.002377,0.002377,0.002377
79,534.822,0.95251,0.54771,1.57757,0.9928,0.93478,0.98973,0.76064,0.94942,0.5339,1.88676,0.002278,0.002278,0.002278
80,541.748,0.87947,0.52167,1.59543,1,0.93249,0.98795,0.7508,0.98334,0.54028,1.83732,0.002179,0.002179,0.002179
81,548.525,0.92382,0.55462,1.57773,0.97777,0.9562,0.98996,0.77555,0.90891,0.54728,1.75667,0.00208,0.00208,0.00208
82,555.269,0.8698,0.53113,1.55398,0.99872,0.95652,0.99255,0.78052,0.94121,0.53895,1.83494,0.001981,0.001981,0.001981
83,562.029,0.91518,0.54601,1.61545,0.95721,0.97264,0.99134,0.77201,0.93595,0.51317,1.83276,0.001882,0.001882,0.001882
84,568.82,0.90259,0.54101,1.53855,1,0.97269,0.99304,0.75146,0.99247,0.52214,1.84112,0.001783,0.001783,0.001783
85,575.827,0.90924,0.55941,1.55722,0.95578,0.97826,0.99033,0.74398,1.02162,0.53024,1.89891,0.001684,0.001684,0.001684
86,582.672,0.89022,0.52638,1.54351,0.99653,0.93478,0.99074,0.76514,0.96377,0.52182,1.89837,0.001585,0.001585,0.001585
87,589.519,0.88289,0.51994,1.59894,1,0.9542,0.99226,0.75812,0.93477,0.51636,1.8712,0.001486,0.001486,0.001486
88,596.385,0.86315,0.51295,1.58345,0.99585,0.95652,0.99088,0.75692,0.96273,0.55397,1.94943,0.001387,0.001387,0.001387
89,603.226,0.86073,0.50597,1.57064,0.99717,0.95652,0.99333,0.75337,0.98285,0.46971,1.93275,0.001288,0.001288,0.001288
90,610.105,0.84768,0.50492,1.51431,0.99777,0.95652,0.99255,0.74163,0.97526,0.50516,1.89754,0.001189,0.001189,0.001189
